city,name,conference,division
Cincinnati,Bengals,AFC,North
Buffalo,Bills,AFC,East
Denver,Broncos,AFC,West
Cleveland,Browns,AFC,North
Los Angeles,Chargers,AFC,West
Kansas City,Chiefs,AFC,West
Indianapolis,Colts,AFC,South
Miami,Dolphins,AFC,East
Jacksonville,Jaguars,AFC,South
New York,Jets,AFC,East
New England,Patriots,AFC,East
Oakland,Raiders,AFC,West
Baltimore,Ravens,AFC,North
Pittsburgh,Steelers,AFC,North
Houston,Texans,AFC,South
Tennessee,Titans,AFC,South
San Francisco,49ers,NFC,West
Chicago,Bears,NFC,North
Tampa Bay,Buccaneers,NFC,South
Arizona,Cardinals,NFC,West
Dallas,Cowboys,NFC,East
Philadelphia,Eagles,NFC,East
Atlanta,Falcons,NFC,South
New York,Giants,NFC,East
Detroit,Lions,NFC,North
Green Bay,Packers,NFC,North
Carolina,Panthers,NFC,South
Los Angeles,Rams,NFC,West
Washington,Redskins,NFC,East
New Orleans,Saints,NFC,South
Seattle,Seahawks,NFC,West
Minnesota,Vikings,NFC,North
